loss: 0.0038, recon: 0.0038, kl: 2756.6528
loss: 0.0038, recon: 0.0038, kl: 2782.9197
epoch: 44, lr: 0.000005, loss: 0.0033
loss: 0.0033, recon: 0.0033, kl: 2771.9089
loss: 0.0037, recon: 0.0037, kl: 2795.0017
loss: 0.0037, recon: 0.0037, kl: 2813.2139
loss: 0.0033, recon: 0.0033, kl: 2803.3101
epoch: 45, lr: 0.000005, loss: 0.0034
loss: 0.0036, recon: 0.0036, kl: 2825.4546
loss: 0.0036, recon: 0.0036, kl: 2816.2798
loss: 0.0037, recon: 0.0037, kl: 2818.3687
loss: 0.0031, recon: 0.0031, kl: 2809.5432
epoch: 46, lr: 0.000005, loss: 0.0034
loss: 0.0035, recon: 0.0035, kl: 2826.1897
loss: 0.0031, recon: 0.0031, kl: 2828.2534
loss: 0.0033, recon: 0.0033, kl: 2847.2046
loss: 0.0034, recon: 0.0034, kl: 2866.4502
epoch: 47, lr: 0.000005, loss: 0.0031
loss: 0.0038, recon: 0.0038, kl: 2849.6287
loss: 0.0030, recon: 0.0030, kl: 2857.2102
loss: 0.0031, recon: 0.0031, kl: 2862.6316
loss: 0.0032, recon: 0.0032, kl: 2860.4695
loss: 0.0031, recon: 0.0031, kl: 2877.9756
epoch: 48, lr: 0.000005, loss: 0.0031
loss: 0.0034, recon: 0.0034, kl: 2866.1230
loss: 0.0031, recon: 0.0031, kl: 2882.8394
loss: 0.0029, recon: 0.0029, kl: 2890.4636
loss: 0.0029, recon: 0.0029, kl: 2904.4663
epoch: 49, lr: 0.000005, loss: 0.0030
loss: 0.0031, recon: 0.0031, kl: 2885.4619
loss: 0.0031, recon: 0.0031, kl: 2913.5266
loss: 0.0033, recon: 0.0033, kl: 2909.7163
loss: 0.0029, recon: 0.0029, kl: 2910.2837
epoch: 50, lr: 0.000005, loss: 0.0032
loss: 0.0033, recon: 0.0033, kl: 2931.2617
loss: 0.0031, recon: 0.0031, kl: 2930.7612
loss: 0.0031, recon: 0.0031, kl: 2935.6790
loss: 0.0031, recon: 0.0031, kl: 2932.1804
epoch: 51, lr: 0.000005, loss: 0.0030
loss: 0.0029, recon: 0.0029, kl: 2946.9126
loss: 0.0031, recon: 0.0031, kl: 2955.9851
loss: 0.0031, recon: 0.0031, kl: 2936.0063
loss: 0.0029, recon: 0.0029, kl: 2941.5659
